iter	RMSE
0	0.388650827
1	0.3816478667
2	0.3748381977
3	0.3680753159
4	0.3617638435
5	0.3555879662
6	0.3500080645
7	0.3443438681
8	0.3391534793
9	0.3342314696
10	0.3286942251
11	0.3236084821
12	0.3184779674
13	0.3137183938
14	0.3084775724
15	0.3034345988
16	0.298992969
17	0.2945314487
18	0.2901097289
19	0.2859193766
20	0.2820718565
21	0.2783100717
22	0.2744032278
23	0.2703059677
24	0.2671674073
25	0.2632451547
26	0.2594684948
27	0.2559464192
28	0.2523581127
29	0.249068018
30	0.2459868712
31	0.2430386467
32	0.2400242815
33	0.2375365326
34	0.2344869137
35	0.2318896315
36	0.2295388211
37	0.2266617649
38	0.2237202233
39	0.2212603093
40	0.2187447085
41	0.2165040524
42	0.2141577226
43	0.2121713746
44	0.2097850049
45	0.2077566241
46	0.2058531
47	0.2035899444
48	0.2016343444
49	0.1997736009
50	0.1978331843
51	0.1958983286
52	0.1941805248
53	0.1923664488
54	0.1907764588
55	0.189412981
56	0.1880743454
57	0.1861928427
58	0.1843999556
59	0.1826349426
60	0.1810708288
61	0.1795212021
62	0.1781473561
63	0.1768137544
64	0.1755708792
65	0.1744461907
66	0.1731631426
67	0.171961703
68	0.1708618983
69	0.1697430701
70	0.1684347018
71	0.1673198335
72	0.1660173334
73	0.1647385872
74	0.1637248727
75	0.1625762597
76	0.1613287522
77	0.1604481323
78	0.159611198
79	0.1585813928
80	0.1573654406
81	0.1567425026
82	0.1559101999
83	0.1550118261
84	0.1541639396
85	0.1535050585
86	0.1526441828
87	0.1519508218
88	0.1509414376
89	0.150321465
90	0.1495639391
91	0.14879852
92	0.148065606
93	0.1474162877
94	0.146849262
95	0.1461508518
96	0.1454333051
97	0.1448977157
98	0.1441745529
99	0.1433885369
100	0.1426731153
101	0.1421688289
102	0.1416284562
103	0.1408817208
104	0.1401880998
105	0.1396355722
106	0.1388947201
107	0.138086354
108	0.1376711077
109	0.1371238346
110	0.1366443984
111	0.1362152145
112	0.1357116873
113	0.1349908291
114	0.1345089867
115	0.1339122604
116	0.1333130868
117	0.132585087
118	0.131892125
119	0.1312576319
120	0.1308658599
121	0.1302721833
122	0.1299483944
123	0.1295828872
124	0.1291510741
125	0.1286247778
126	0.1282127451
127	0.1277370576
128	0.1274115174
129	0.1269399371
130	0.1266007757
131	0.1261881337
132	0.1258418811
133	0.1254634836
134	0.1250077529
135	0.1246038425
136	0.1243385747
137	0.1240165637
138	0.1237420992
139	0.1235284272
140	0.1230616475
141	0.1226222972
142	0.1223836773
143	0.1220404648
144	0.1216257168
145	0.1213615503
146	0.1210518389
147	0.1207847002
148	0.1203931703
149	0.1198789748
150	0.1196994067
151	0.119174198
152	0.1188281999
153	0.1184207269
154	0.1180184835
155	0.1177029577
156	0.1173761906
157	0.1172560257
158	0.1168965034
159	0.1165878048
160	0.1161454754
161	0.1158345674
162	0.1155084489
163	0.1152128624
